PA,SZ,AG,Pop,Time
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,170,2020
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,280,2020
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,340,2020
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,270,2020
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,260,2020
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,310,2020
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,330,2020
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,400,2020
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,480,2020
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,380,2020
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,310,2020
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,230,2020
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,290,2020
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,250,2020
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,240,2020
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,130,2020
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,100,2020
Ang Mo Kio,Ang Mo Kio Town Centre,85_to_89,30,2020
Ang Mo Kio,Ang Mo Kio Town Centre,90_and_over,10,2020
Ang Mo Kio,Cheng San,0_to_4,1060,2020
Ang Mo Kio,Cheng San,10_to_14,1040,2020
Ang Mo Kio,Cheng San,15_to_19,1160,2020
Ang Mo Kio,Cheng San,20_to_24,1330,2020
Ang Mo Kio,Cheng San,25_to_29,1720,2020
Ang Mo Kio,Cheng San,30_to_34,2020,2020
Ang Mo Kio,Cheng San,35_to_39,2150,2020
Ang Mo Kio,Cheng San,40_to_44,2080,2020
Ang Mo Kio,Cheng San,45_to_49,2200,2020
Ang Mo Kio,Cheng San,50_to_54,2050,2020
Ang Mo Kio,Cheng San,55_to_59,2130,2020
Ang Mo Kio,Cheng San,5_to_9,1050,2020
Ang Mo Kio,Cheng San,60_to_64,2110,2020
Ang Mo Kio,Cheng San,65_to_69,2180,2020
Ang Mo Kio,Cheng San,70_to_74,1750,2020
Ang Mo Kio,Cheng San,75_to_79,960,2020
Ang Mo Kio,Cheng San,80_to_84,650,2020
Ang Mo Kio,Cheng San,85_to_89,340,2020
Ang Mo Kio,Cheng San,90_and_over,170,2020
Ang Mo Kio,Chong Boon,0_to_4,850,2020
Ang Mo Kio,Chong Boon,10_to_14,1020,2020
Ang Mo Kio,Chong Boon,15_to_19,1070,2020
Ang Mo Kio,Chong Boon,20_to_24,1310,2020
Ang Mo Kio,Chong Boon,25_to_29,1610,2020
Ang Mo Kio,Chong Boon,30_to_34,1890,2020
Ang Mo Kio,Chong Boon,35_to_39,1720,2020
Ang Mo Kio,Chong Boon,40_to_44,1810,2020
Ang Mo Kio,Chong Boon,45_to_49,1820,2020
Ang Mo Kio,Chong Boon,50_to_54,1900,2020
Ang Mo Kio,Chong Boon,55_to_59,2100,2020
Ang Mo Kio,Chong Boon,5_to_9,850,2020
Ang Mo Kio,Chong Boon,60_to_64,2150,2020
Ang Mo Kio,Chong Boon,65_to_69,2100,2020
Ang Mo Kio,Chong Boon,70_to_74,1800,2020
Ang Mo Kio,Chong Boon,75_to_79,1120,2020
Ang Mo Kio,Chong Boon,80_to_84,800,2020
Ang Mo Kio,Chong Boon,85_to_89,430,2020
Ang Mo Kio,Chong Boon,90_and_over,220,2020
Ang Mo Kio,Kebun Bahru,0_to_4,680,2020
Ang Mo Kio,Kebun Bahru,10_to_14,960,2020
Ang Mo Kio,Kebun Bahru,15_to_19,1010,2020
Ang Mo Kio,Kebun Bahru,20_to_24,1170,2020
Ang Mo Kio,Kebun Bahru,25_to_29,1410,2020
Ang Mo Kio,Kebun Bahru,30_to_34,1420,2020
Ang Mo Kio,Kebun Bahru,35_to_39,1440,2020
Ang Mo Kio,Kebun Bahru,40_to_44,1630,2020
Ang Mo Kio,Kebun Bahru,45_to_49,1810,2020
Ang Mo Kio,Kebun Bahru,50_to_54,1720,2020
Ang Mo Kio,Kebun Bahru,55_to_59,1800,2020
Ang Mo Kio,Kebun Bahru,5_to_9,800,2020
Ang Mo Kio,Kebun Bahru,60_to_64,1780,2020
Ang Mo Kio,Kebun Bahru,65_to_69,1710,2020
Ang Mo Kio,Kebun Bahru,70_to_74,1450,2020
Ang Mo Kio,Kebun Bahru,75_to_79,830,2020
Ang Mo Kio,Kebun Bahru,80_to_84,630,2020
Ang Mo Kio,Kebun Bahru,85_to_89,350,2020
Ang Mo Kio,Kebun Bahru,90_and_over,150,2020
Ang Mo Kio,Sembawang Hills,0_to_4,210,2020
Ang Mo Kio,Sembawang Hills,10_to_14,400,2020
Ang Mo Kio,Sembawang Hills,15_to_19,450,2020
Ang Mo Kio,Sembawang Hills,20_to_24,500,2020
Ang Mo Kio,Sembawang Hills,25_to_29,500,2020
Ang Mo Kio,Sembawang Hills,30_to_34,340,2020
Ang Mo Kio,Sembawang Hills,35_to_39,300,2020
Ang Mo Kio,Sembawang Hills,40_to_44,370,2020
Ang Mo Kio,Sembawang Hills,45_to_49,550,2020
Ang Mo Kio,Sembawang Hills,50_to_54,540,2020
Ang Mo Kio,Sembawang Hills,55_to_59,550,2020
Ang Mo Kio,Sembawang Hills,5_to_9,320,2020
Ang Mo Kio,Sembawang Hills,60_to_64,480,2020
Ang Mo Kio,Sembawang Hills,65_to_69,410,2020
Ang Mo Kio,Sembawang Hills,70_to_74,360,2020
Ang Mo Kio,Sembawang Hills,75_to_79,230,2020
Ang Mo Kio,Sembawang Hills,80_to_84,150,2020
Ang Mo Kio,Sembawang Hills,85_to_89,100,2020
Ang Mo Kio,Sembawang Hills,90_and_over,60,2020
Ang Mo Kio,Shangri-La,0_to_4,560,2020
Ang Mo Kio,Shangri-La,10_to_14,640,2020
Ang Mo Kio,Shangri-La,15_to_19,700,2020
Ang Mo Kio,Shangri-La,20_to_24,860,2020
Ang Mo Kio,Shangri-La,25_to_29,970,2020
Ang Mo Kio,Shangri-La,30_to_34,1030,2020
Ang Mo Kio,Shangri-La,35_to_39,980,2020
Ang Mo Kio,Shangri-La,40_to_44,1010,2020
Ang Mo Kio,Shangri-La,45_to_49,1190,2020
Ang Mo Kio,Shangri-La,50_to_54,1200,2020
Ang Mo Kio,Shangri-La,55_to_59,1390,2020
Ang Mo Kio,Shangri-La,5_to_9,570,2020
Ang Mo Kio,Shangri-La,60_to_64,1280,2020
Ang Mo Kio,Shangri-La,65_to_69,1200,2020
Ang Mo Kio,Shangri-La,70_to_74,970,2020
Ang Mo Kio,Shangri-La,75_to_79,630,2020
Ang Mo Kio,Shangri-La,80_to_84,430,2020
Ang Mo Kio,Shangri-La,85_to_89,250,2020
Ang Mo Kio,Shangri-La,90_and_over,130,2020
Ang Mo Kio,Tagore,0_to_4,200,2020
Ang Mo Kio,Tagore,10_to_14,390,2020
Ang Mo Kio,Tagore,15_to_19,460,2020
Ang Mo Kio,Tagore,20_to_24,590,2020
Ang Mo Kio,Tagore,25_to_29,680,2020
Ang Mo Kio,Tagore,30_to_34,500,2020
Ang Mo Kio,Tagore,35_to_39,330,2020
Ang Mo Kio,Tagore,40_to_44,430,2020
Ang Mo Kio,Tagore,45_to_49,580,2020
Ang Mo Kio,Tagore,50_to_54,580,2020
Ang Mo Kio,Tagore,55_to_59,660,2020
Ang Mo Kio,Tagore,5_to_9,300,2020
Ang Mo Kio,Tagore,60_to_64,720,2020
Ang Mo Kio,Tagore,65_to_69,560,2020
Ang Mo Kio,Tagore,70_to_74,390,2020
Ang Mo Kio,Tagore,75_to_79,210,2020
Ang Mo Kio,Tagore,80_to_84,190,2020
Ang Mo Kio,Tagore,85_to_89,110,2020
Ang Mo Kio,Tagore,90_and_over,70,2020
Ang Mo Kio,Townsville,0_to_4,670,2020
Ang Mo Kio,Townsville,10_to_14,930,2020
Ang Mo Kio,Townsville,15_to_19,830,2020
Ang Mo Kio,Townsville,20_to_24,890,2020
Ang Mo Kio,Townsville,25_to_29,1310,2020
Ang Mo Kio,Townsville,30_to_34,1410,2020
Ang Mo Kio,Townsville,35_to_39,1420,2020
Ang Mo Kio,Townsville,40_to_44,1640,2020
Ang Mo Kio,Townsville,45_to_49,1580,2020
Ang Mo Kio,Townsville,50_to_54,1370,2020
Ang Mo Kio,Townsville,55_to_59,1570,2020
Ang Mo Kio,Townsville,5_to_9,870,2020
Ang Mo Kio,Townsville,60_to_64,1650,2020
Ang Mo Kio,Townsville,65_to_69,1530,2020
Ang Mo Kio,Townsville,70_to_74,1430,2020
Ang Mo Kio,Townsville,75_to_79,890,2020
Ang Mo Kio,Townsville,80_to_84,700,2020
Ang Mo Kio,Townsville,85_to_89,360,2020
Ang Mo Kio,Townsville,90_and_over,190,2020
Ang Mo Kio,Yio Chu Kang,0_to_4,0,2020
Ang Mo Kio,Yio Chu Kang,10_to_14,0,2020
Ang Mo Kio,Yio Chu Kang,15_to_19,0,2020
Ang Mo Kio,Yio Chu Kang,20_to_24,0,2020
Ang Mo Kio,Yio Chu Kang,25_to_29,0,2020
Ang Mo Kio,Yio Chu Kang,30_to_34,0,2020
Ang Mo Kio,Yio Chu Kang,35_to_39,0,2020
Ang Mo Kio,Yio Chu Kang,40_to_44,0,2020
Ang Mo Kio,Yio Chu Kang,45_to_49,0,2020
Ang Mo Kio,Yio Chu Kang,50_to_54,0,2020
Ang Mo Kio,Yio Chu Kang,55_to_59,0,2020
Ang Mo Kio,Yio Chu Kang,5_to_9,0,2020
Ang Mo Kio,Yio Chu Kang,60_to_64,0,2020
Ang Mo Kio,Yio Chu Kang,65_to_69,0,2020
Ang Mo Kio,Yio Chu Kang,70_to_74,0,2020
Ang Mo Kio,Yio Chu Kang,75_to_79,0,2020
Ang Mo Kio,Yio Chu Kang,80_to_84,0,2020
Ang Mo Kio,Yio Chu Kang,85_to_89,0,2020
Ang Mo Kio,Yio Chu Kang,90_and_over,0,2020
Ang Mo Kio,Yio Chu Kang East,0_to_4,160,2020
Ang Mo Kio,Yio Chu Kang East,10_to_14,210,2020
Ang Mo Kio,Yio Chu Kang East,15_to_19,260,2020
Ang Mo Kio,Yio Chu Kang East,20_to_24,300,2020
Ang Mo Kio,Yio Chu Kang East,25_to_29,320,2020
Ang Mo Kio,Yio Chu Kang East,30_to_34,240,2020
Ang Mo Kio,Yio Chu Kang East,35_to_39,250,2020
Ang Mo Kio,Yio Chu Kang East,40_to_44,260,2020
Ang Mo Kio,Yio Chu Kang East,45_to_49,320,2020
Ang Mo Kio,Yio Chu Kang East,50_to_54,290,2020
Ang Mo Kio,Yio Chu Kang East,55_to_59,340,2020
Ang Mo Kio,Yio Chu Kang East,5_to_9,180,2020
Ang Mo Kio,Yio Chu Kang East,60_to_64,390,2020
Ang Mo Kio,Yio Chu Kang East,65_to_69,270,2020
Ang Mo Kio,Yio Chu Kang East,70_to_74,200,2020
Ang Mo Kio,Yio Chu Kang East,75_to_79,120,2020
Ang Mo Kio,Yio Chu Kang East,80_to_84,80,2020
Ang Mo Kio,Yio Chu Kang East,85_to_89,50,2020
Ang Mo Kio,Yio Chu Kang East,90_and_over,30,2020
Ang Mo Kio,Yio Chu Kang North,0_to_4,0,2020
Ang Mo Kio,Yio Chu Kang North,10_to_14,0,2020
Ang Mo Kio,Yio Chu Kang North,15_to_19,0,2020
Ang Mo Kio,Yio Chu Kang North,20_to_24,0,2020
Ang Mo Kio,Yio Chu Kang North,25_to_29,0,2020
Ang Mo Kio,Yio Chu Kang North,30_to_34,0,2020
Ang Mo Kio,Yio Chu Kang North,35_to_39,0,2020
Ang Mo Kio,Yio Chu Kang North,40_to_44,0,2020
Ang Mo Kio,Yio Chu Kang North,45_to_49,0,2020
Ang Mo Kio,Yio Chu Kang North,50_to_54,0,2020
Ang Mo Kio,Yio Chu Kang North,55_to_59,0,2020
Ang Mo Kio,Yio Chu Kang North,5_to_9,0,2020
Ang Mo Kio,Yio Chu Kang North,60_to_64,0,2020
Ang Mo Kio,Yio Chu Kang North,65_to_69,0,2020
Ang Mo Kio,Yio Chu Kang North,70_to_74,0,2020
Ang Mo Kio,Yio Chu Kang North,75_to_79,0,2020
Ang Mo Kio,Yio Chu Kang North,80_to_84,0,2020
Ang Mo Kio,Yio Chu Kang North,85_to_89,0,2020
Ang Mo Kio,Yio Chu Kang North,90_and_over,0,2020
Ang Mo Kio,Yio Chu Kang West,0_to_4,740,2020
Ang Mo Kio,Yio Chu Kang West,10_to_14,1190,2020
Ang Mo Kio,Yio Chu Kang West,15_to_19,1340,2020
Ang Mo Kio,Yio Chu Kang West,20_to_24,1470,2020
Ang Mo Kio,Yio Chu Kang West,25_to_29,1520,2020
Ang Mo Kio,Yio Chu Kang West,30_to_34,1400,2020
Ang Mo Kio,Yio Chu Kang West,35_to_39,1500,2020
Ang Mo Kio,Yio Chu Kang West,40_to_44,1720,2020
Ang Mo Kio,Yio Chu Kang West,45_to_49,1910,2020
Ang Mo Kio,Yio Chu Kang West,50_to_54,1850,2020
Ang Mo Kio,Yio Chu Kang West,55_to_59,1950,2020
Ang Mo Kio,Yio Chu Kang West,5_to_9,950,2020
Ang Mo Kio,Yio Chu Kang West,60_to_64,1900,2020
Ang Mo Kio,Yio Chu Kang West,65_to_69,1820,2020
Ang Mo Kio,Yio Chu Kang West,70_to_74,1380,2020
Ang Mo Kio,Yio Chu Kang West,75_to_79,650,2020
Ang Mo Kio,Yio Chu Kang West,80_to_84,480,2020
Ang Mo Kio,Yio Chu Kang West,85_to_89,250,2020
Ang Mo Kio,Yio Chu Kang West,90_and_over,100,2020
Bedok,Bayshore,0_to_4,340,2020
Bedok,Bayshore,10_to_14,480,2020
Bedok,Bayshore,15_to_19,440,2020
Bedok,Bayshore,20_to_24,360,2020
Bedok,Bayshore,25_to_29,310,2020
Bedok,Bayshore,30_to_34,350,2020
Bedok,Bayshore,35_to_39,550,2020
Bedok,Bayshore,40_to_44,770,2020
Bedok,Bayshore,45_to_49,860,2020
Bedok,Bayshore,50_to_54,650,2020
Bedok,Bayshore,55_to_59,520,2020
Bedok,Bayshore,5_to_9,490,2020
Bedok,Bayshore,60_to_64,400,2020
Bedok,Bayshore,65_to_69,360,2020
Bedok,Bayshore,70_to_74,290,2020
Bedok,Bayshore,75_to_79,130,2020
Bedok,Bayshore,80_to_84,90,2020
Bedok,Bayshore,85_to_89,50,2020
Bedok,Bayshore,90_and_over,50,2020
Bedok,Bedok North,0_to_4,2700,2020
Bedok,Bedok North,10_to_14,3450,2020
Bedok,Bedok North,15_to_19,4000,2020
Bedok,Bedok North,20_to_24,4760,2020
Bedok,Bedok North,25_to_29,5630,2020
Bedok,Bedok North,30_to_34,5290,2020
Bedok,Bedok North,35_to_39,5120,2020
Bedok,Bedok North,40_to_44,5680,2020
Bedok,Bedok North,45_to_49,5970,2020
Bedok,Bedok North,50_to_54,6030,2020
Bedok,Bedok North,55_to_59,6940,2020
Bedok,Bedok North,5_to_9,3090,2020
Bedok,Bedok North,60_to_64,6590,2020
Bedok,Bedok North,65_to_69,5990,2020
Bedok,Bedok North,70_to_74,4940,2020
Bedok,Bedok North,75_to_79,2560,2020
Bedok,Bedok North,80_to_84,1750,2020
Bedok,Bedok North,85_to_89,980,2020
Bedok,Bedok North,90_and_over,540,2020
Bedok,Bedok Reservoir,0_to_4,1090,2020
Bedok,Bedok Reservoir,10_to_14,1400,2020
Bedok,Bedok Reservoir,15_to_19,1510,2020
Bedok,Bedok Reservoir,20_to_24,1500,2020
Bedok,Bedok Reservoir,25_to_29,1600,2020
Bedok,Bedok Reservoir,30_to_34,1850,2020
Bedok,Bedok Reservoir,35_to_39,1900,2020
Bedok,Bedok Reservoir,40_to_44,2090,2020
Bedok,Bedok Reservoir,45_to_49,2120,2020
Bedok,Bedok Reservoir,50_to_54,1920,2020
Bedok,Bedok Reservoir,55_to_59,1840,2020
Bedok,Bedok Reservoir,5_to_9,1270,2020
Bedok,Bedok Reservoir,60_to_64,1790,2020
Bedok,Bedok Reservoir,65_to_69,1540,2020
Bedok,Bedok Reservoir,70_to_74,1040,2020
Bedok,Bedok Reservoir,75_to_79,470,2020
Bedok,Bedok Reservoir,80_to_84,330,2020
Bedok,Bedok Reservoir,85_to_89,170,2020
Bedok,Bedok Reservoir,90_and_over,100,2020
Bedok,Bedok South,0_to_4,1440,2020
Bedok,Bedok South,10_to_14,2150,2020
Bedok,Bedok South,15_to_19,2310,2020
Bedok,Bedok South,20_to_24,2750,2020
Bedok,Bedok South,25_to_29,3150,2020
Bedok,Bedok South,30_to_34,2930,2020
Bedok,Bedok South,35_to_39,2710,2020
Bedok,Bedok South,40_to_44,3080,2020
Bedok,Bedok South,45_to_49,3500,2020
Bedok,Bedok South,50_to_54,3450,2020
Bedok,Bedok South,55_to_59,3740,2020
Bedok,Bedok South,5_to_9,1720,2020
Bedok,Bedok South,60_to_64,3730,2020
Bedok,Bedok South,65_to_69,3380,2020
Bedok,Bedok South,70_to_74,2830,2020
Bedok,Bedok South,75_to_79,1660,2020
Bedok,Bedok South,80_to_84,1240,2020
Bedok,Bedok South,85_to_89,750,2020
Bedok,Bedok South,90_and_over,410,2020
Bedok,Frankel,0_to_4,1460,2020
Bedok,Frankel,10_to_14,2070,2020
Bedok,Frankel,15_to_19,1820,2020
Bedok,Frankel,20_to_24,1810,2020
Bedok,Frankel,25_to_29,2040,2020
Bedok,Frankel,30_to_34,2000,2020
Bedok,Frankel,35_to_39,2360,2020
Bedok,Frankel,40_to_44,2960,2020
Bedok,Frankel,45_to_49,3180,2020
Bedok,Frankel,50_to_54,2500,2020
Bedok,Frankel,55_to_59,2280,2020
Bedok,Frankel,5_to_9,2070,2020
Bedok,Frankel,60_to_64,2110,2020
Bedok,Frankel,65_to_69,1880,2020
Bedok,Frankel,70_to_74,1610,2020
Bedok,Frankel,75_to_79,850,2020
Bedok,Frankel,80_to_84,750,2020
Bedok,Frankel,85_to_89,470,2020
Bedok,Frankel,90_and_over,290,2020
Bedok,Kaki Bukit,0_to_4,1200,2020
Bedok,Kaki Bukit,10_to_14,1580,2020
Bedok,Kaki Bukit,15_to_19,1940,2020
Bedok,Kaki Bukit,20_to_24,2520,2020
Bedok,Kaki Bukit,25_to_29,3150,2020
Bedok,Kaki Bukit,30_to_34,2840,2020
Bedok,Kaki Bukit,35_to_39,2290,2020
Bedok,Kaki Bukit,40_to_44,2280,2020
Bedok,Kaki Bukit,45_to_49,2470,2020
Bedok,Kaki Bukit,50_to_54,2460,2020
Bedok,Kaki Bukit,55_to_59,3230,2020
Bedok,Kaki Bukit,5_to_9,1250,2020
Bedok,Kaki Bukit,60_to_64,3500,2020
Bedok,Kaki Bukit,65_to_69,2760,2020
Bedok,Kaki Bukit,70_to_74,1910,2020
Bedok,Kaki Bukit,75_to_79,820,2020
Bedok,Kaki Bukit,80_to_84,580,2020
Bedok,Kaki Bukit,85_to_89,270,2020
Bedok,Kaki Bukit,90_and_over,180,2020
Bedok,Kembangan,0_to_4,1390,2020
Bedok,Kembangan,10_to_14,1490,2020
Bedok,Kembangan,15_to_19,1800,2020
Bedok,Kembangan,20_to_24,2010,2020
Bedok,Kembangan,25_to_29,2620,2020
Bedok,Kembangan,30_to_34,2810,2020
Bedok,Kembangan,35_to_39,2530,2020
Bedok,Kembangan,40_to_44,2310,2020
Bedok,Kembangan,45_to_49,2520,2020
Bedok,Kembangan,50_to_54,2650,2020
Bedok,Kembangan,55_to_59,2930,2020
Bedok,Kembangan,5_to_9,1360,2020
Bedok,Kembangan,60_to_64,3240,2020
Bedok,Kembangan,65_to_69,2760,2020
Bedok,Kembangan,70_to_74,2180,2020
Bedok,Kembangan,75_to_79,1270,2020
Bedok,Kembangan,80_to_84,850,2020
Bedok,Kembangan,85_to_89,520,2020
Bedok,Kembangan,90_and_over,340,2020
Bedok,Siglap,0_to_4,160,2020
Bedok,Siglap,10_to_14,250,2020
Bedok,Siglap,15_to_19,310,2020
Bedok,Siglap,20_to_24,360,2020
Bedok,Siglap,25_to_29,400,2020
Bedok,Siglap,30_to_34,360,2020
Bedok,Siglap,35_to_39,320,2020
Bedok,Siglap,40_to_44,430,2020
Bedok,Siglap,45_to_49,520,2020
Bedok,Siglap,50_to_54,450,2020
Bedok,Siglap,55_to_59,460,2020
Bedok,Siglap,5_to_9,250,2020
Bedok,Siglap,60_to_64,500,2020
Bedok,Siglap,65_to_69,430,2020
Bedok,Siglap,70_to_74,480,2020
Bedok,Siglap,75_to_79,300,2020
Bedok,Siglap,80_to_84,250,2020
Bedok,Siglap,85_to_89,140,2020
Bedok,Siglap,90_and_over,70,2020
Bishan,Bishan East,0_to_4,860,2020
Bishan,Bishan East,10_to_14,1290,2020
Bishan,Bishan East,15_to_19,1390,2020
Bishan,Bishan East,20_to_24,1480,2020
Bishan,Bishan East,25_to_29,2300,2020
Bishan,Bishan East,30_to_34,2150,2020
Bishan,Bishan East,35_to_39,1730,2020
Bishan,Bishan East,40_to_44,1890,2020
Bishan,Bishan East,45_to_49,2150,2020
Bishan,Bishan East,50_to_54,1890,2020
Bishan,Bishan East,55_to_59,2100,2020
Bishan,Bishan East,5_to_9,1140,2020
Bishan,Bishan East,60_to_64,2430,2020
Bishan,Bishan East,65_to_69,2110,2020
Bishan,Bishan East,70_to_74,1560,2020
Bishan,Bishan East,75_to_79,830,2020
Bishan,Bishan East,80_to_84,590,2020
Bishan,Bishan East,85_to_89,320,2020
Bishan,Bishan East,90_and_over,150,2020
Bishan,Marymount,0_to_4,1010,2020
Bishan,Marymount,10_to_14,1520,2020
Bishan,Marymount,15_to_19,1680,2020
Bishan,Marymount,20_to_24,2040,2020
Bishan,Marymount,25_to_29,2650,2020
Bishan,Marymount,30_to_34,1850,2020
Bishan,Marymount,35_to_39,1770,2020
Bishan,Marymount,40_to_44,1960,2020
Bishan,Marymount,45_to_49,2240,2020
Bishan,Marymount,50_to_54,2190,2020
Bishan,Marymount,55_to_59,2530,2020
Bishan,Marymount,5_to_9,1340,2020
Bishan,Marymount,60_to_64,2360,2020
Bishan,Marymount,65_to_69,1800,2020
Bishan,Marymount,70_to_74,1240,2020
Bishan,Marymount,75_to_79,640,2020
Bishan,Marymount,80_to_84,450,2020
Bishan,Marymount,85_to_89,230,2020
Bishan,Marymount,90_and_over,140,2020
Bishan,Upper Thomson,0_to_4,930,2020
Bishan,Upper Thomson,10_to_14,1440,2020
Bishan,Upper Thomson,15_to_19,1560,2020
Bishan,Upper Thomson,20_to_24,1750,2020
Bishan,Upper Thomson,25_to_29,2030,2020
Bishan,Upper Thomson,30_to_34,1740,2020
Bishan,Upper Thomson,35_to_39,1590,2020
Bishan,Upper Thomson,40_to_44,1920,2020
Bishan,Upper Thomson,45_to_49,2340,2020
Bishan,Upper Thomson,50_to_54,2240,2020
Bishan,Upper Thomson,55_to_59,2310,2020
Bishan,Upper Thomson,5_to_9,1270,2020
Bishan,Upper Thomson,60_to_64,2370,2020
Bishan,Upper Thomson,65_to_69,1980,2020
Bishan,Upper Thomson,70_to_74,1590,2020
Bishan,Upper Thomson,75_to_79,1000,2020
Bishan,Upper Thomson,80_to_84,730,2020
Bishan,Upper Thomson,85_to_89,500,2020
Bishan,Upper Thomson,90_and_over,270,2020
Boon Lay,Liu Fang,0_to_4,0,2020
Boon Lay,Liu Fang,10_to_14,0,2020
Boon Lay,Liu Fang,15_to_19,0,2020
Boon Lay,Liu Fang,20_to_24,0,2020
Boon Lay,Liu Fang,25_to_29,0,2020
Boon Lay,Liu Fang,30_to_34,0,2020
Boon Lay,Liu Fang,35_to_39,0,2020
Boon Lay,Liu Fang,40_to_44,0,2020
Boon Lay,Liu Fang,45_to_49,0,2020
Boon Lay,Liu Fang,50_to_54,0,2020
Boon Lay,Liu Fang,55_to_59,0,2020
Boon Lay,Liu Fang,5_to_9,0,2020
Boon Lay,Liu Fang,60_to_64,0,2020
Boon Lay,Liu Fang,65_to_69,0,2020
Boon Lay,Liu Fang,70_to_74,0,2020
Boon Lay,Liu Fang,75_to_79,0,2020
Boon Lay,Liu Fang,80_to_84,0,2020
Boon Lay,Liu Fang,85_to_89,0,2020
Boon Lay,Liu Fang,90_and_over,0,2020
Boon Lay,Samulun,0_to_4,0,2020
Boon Lay,Samulun,10_to_14,0,2020
Boon Lay,Samulun,15_to_19,0,2020
Boon Lay,Samulun,20_to_24,0,2020
Boon Lay,Samulun,25_to_29,0,2020
Boon Lay,Samulun,30_to_34,0,2020
Boon Lay,Samulun,35_to_39,0,2020
Boon Lay,Samulun,40_to_44,0,2020
Boon Lay,Samulun,45_to_49,0,2020
Boon Lay,Samulun,50_to_54,0,2020
Boon Lay,Samulun,55_to_59,0,2020
Boon Lay,Samulun,5_to_9,0,2020
Boon Lay,Samulun,60_to_64,0,2020
Boon Lay,Samulun,65_to_69,0,2020
Boon Lay,Samulun,70_to_74,0,2020
Boon Lay,Samulun,75_to_79,0,2020
Boon Lay,Samulun,80_to_84,0,2020
Boon Lay,Samulun,85_to_89,0,2020
Boon Lay,Samulun,90_and_over,0,2020
Boon Lay,Shipyard,0_to_4,0,2020
Boon Lay,Shipyard,10_to_14,0,2020
Boon Lay,Shipyard,15_to_19,0,2020
Boon Lay,Shipyard,20_to_24,0,2020
Boon Lay,Shipyard,25_to_29,0,2020
Boon Lay,Shipyard,30_to_34,0,2020
Boon Lay,Shipyard,35_to_39,0,2020
Boon Lay,Shipyard,40_to_44,0,2020
Boon Lay,Shipyard,45_to_49,0,2020
Boon Lay,Shipyard,50_to_54,0,2020
Boon Lay,Shipyard,55_to_59,0,2020
Boon Lay,Shipyard,5_to_9,0,2020
Boon Lay,Shipyard,60_to_64,0,2020
Boon Lay,Shipyard,65_to_69,0,2020
Boon Lay,Shipyard,70_to_74,0,2020
Boon Lay,Shipyard,75_to_79,0,2020
Boon Lay,Shipyard,80_to_84,0,2020
Boon Lay,Shipyard,85_to_89,0,2020
Boon Lay,Shipyard,90_and_over,0,2020
Boon Lay,Tukang,0_to_4,0,2020
Boon Lay,Tukang,10_to_14,0,2020
Boon Lay,Tukang,15_to_19,0,2020
Boon Lay,Tukang,20_to_24,0,2020
Boon Lay,Tukang,25_to_29,0,2020
Boon Lay,Tukang,30_to_34,0,2020
Boon Lay,Tukang,35_to_39,0,2020
Boon Lay,Tukang,40_to_44,0,2020
Boon Lay,Tukang,45_to_49,0,2020
Boon Lay,Tukang,50_to_54,0,2020
Boon Lay,Tukang,55_to_59,0,2020
Boon Lay,Tukang,5_to_9,0,2020
Boon Lay,Tukang,60_to_64,0,2020
Boon Lay,Tukang,65_to_69,0,2020
Boon Lay,Tukang,70_to_74,0,2020
Boon Lay,Tukang,75_to_79,0,2020
Boon Lay,Tukang,80_to_84,0,2020
Boon Lay,Tukang,85_to_89,0,2020
Boon Lay,Tukang,90_and_over,0,2020
Bukit Batok,Brickworks,0_to_4,2710,2020
Bukit Batok,Brickworks,10_to_14,850,2020
Bukit Batok,Brickworks,15_to_19,740,2020
Bukit Batok,Brickworks,20_to_24,670,2020
Bukit Batok,Brickworks,25_to_29,2290,2020
Bukit Batok,Brickworks,30_to_34,3550,2020
Bukit Batok,Brickworks,35_to_39,1690,2020
Bukit Batok,Brickworks,40_to_44,1460,2020
Bukit Batok,Brickworks,45_to_49,1300,2020
Bukit Batok,Brickworks,50_to_54,970,2020
Bukit Batok,Brickworks,55_to_59,790,2020
Bukit Batok,Brickworks,5_to_9,1200,2020
Bukit Batok,Brickworks,60_to_64,630,2020
Bukit Batok,Brickworks,65_to_69,440,2020
Bukit Batok,Brickworks,70_to_74,280,2020
Bukit Batok,Brickworks,75_to_79,130,2020
Bukit Batok,Brickworks,80_to_84,100,2020
